vlan,hostname,ipaddr,submask,gateway,inuse,vlan2,ipaddr2,submask2,date_released,date_acquired,reserve_token
VMNET_10.11.11.X,dlab0030,10.11.11.30,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.30,,,,
VMNET_10.11.11.X,dlab0031,10.11.11.31,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.31,,,,
VMNET_10.11.11.X,dlab0032,10.11.11.32,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.32,,,,
VMNET_10.11.11.X,dlab0033,10.11.11.33,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.33,,,,
VMNET_10.11.11.X,dlab0034,10.11.11.34,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.34,,,,
VMNET_10.11.11.X,dlab0035,10.11.11.35,255.255.255.0,10.11.11.1,TRUE,VMNET_172.45.54.X,172.45.54.35,,,7/9/15 3:45 PM,1000000000264
VMNET_10.11.11.X,dlab0036,10.11.11.36,255.255.255.0,10.11.11.1,TRUE,VMNET_172.45.54.X,172.45.54.36,,,7/9/15 5:17 PM,1000000000269
VMNET_10.11.11.X,dlab0037,10.11.11.37,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.37,,,,
VMNET_10.11.11.X,dlab0038,10.11.11.38,255.255.255.0,10.11.11.1,FALSE,VMNET_172.45.54.X,172.45.54.38,,,,
VMNET_10.11.11.X,dlab0039,10.11.11.39,255.255.255.0,10.11.11.1,TRUE,VMNET_172.45.54.X,172.45.54.39,,,7/4/15 9:26 AM,1000000000217
