vlan,hostname,ipaddr,submask,gateway,inuse,date_released,date_acquired,reserve_token
VMNET_10.33.33.X,web1050,10.33.33.30,255.255.255.0,10.33.33.1,TRUE,,8/4/15,
VMNET_10.33.33.X,web1051,10.33.33.31,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1052,10.33.33.32,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1053,10.33.33.33,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1054,10.33.33.34,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1055,10.33.33.35,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1056,10.33.33.36,255.255.255.0,10.33.33.1,TRUE,,,
VMNET_10.33.33.X,web1057,10.33.33.37,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1058,10.33.33.38,255.255.255.0,10.33.33.1,FALSE,,,
VMNET_10.33.33.X,web1059,10.33.33.39,255.255.255.0,10.33.33.1,TRUE,,,
